S2A_MSIL1C_20171016T110031_N0205_R094_T31UER_20171016T110313,https://scihub.copernicus.eu/dhus/odata/v1/Products('9d4b6e5f-bb5b-43b2-9227-1b9891f19900')
S2A_MSIL1C_20171016T110031_N0205_R094_T31UET_20171016T110313,https://scihub.copernicus.eu/dhus/odata/v1/Products('48d3d683-3c0a-455e-a6a3-95ad8e99b3cb')
S2A_MSIL1C_20171016T110031_N0205_R094_T31UES_20171016T110313,https://scihub.copernicus.eu/dhus/odata/v1/Products('45129f79-fce0-4053-bb36-2c216c0e679a')
S2B_MSIL1C_20171015T104009_N0205_R008_T32ULV_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('b914d66d-1185-4120-bb3b-86289b0f46cc')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UGR_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('69ed5c90-4d7a-4680-a88f-7c12ec766e6a')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UER_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('c984e137-1d1c-42ab-8bce-21defac304d4')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UES_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('498bdb89-dfa5-4e4a-9848-06a791fd6185')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UGS_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('ce81ff85-bc66-43fc-8d00-dd472fb34c85')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UGT_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('699ca704-a518-4809-b14f-1cd7b035f01b')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UFT_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('f58bb2f0-be1f-4773-8b2c-00bb67573bfe')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UFQ_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('299e079b-deca-40ab-bed7-2aec21552e2c')
S2B_MSIL1C_20171015T104009_N0205_R008_T32ULB_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('0a64f5f6-8c1f-4383-bce7-25abb70c4056')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UGQ_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('0e402072-1323-4541-95c7-c3acc50f7c78')
S2B_MSIL1C_20171015T104009_N0205_R008_T32ULC_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('211fb4ab-2e32-44a5-bf4c-ce0d63abb92f')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UEQ_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('775e35a6-2e31-4d78-a8a5-ff762d68117f')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UFS_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('1e3a037b-4999-4f16-8dbc-3c3f4f23f4af')
S2B_MSIL1C_20171015T104009_N0205_R008_T32ULA_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('58835e7d-2ff8-4db0-9b3e-c1e45f5f798d')
S2B_MSIL1C_20171015T104009_N0205_R008_T31UFR_20171015T104525,https://scihub.copernicus.eu/dhus/odata/v1/Products('5f2580b7-82be-4699-a2f0-f17348f655f4')
S2A_MSIL1C_20171013T105031_N0205_R051_T31UGR_20171013T105315,https://scihub.copernicus.eu/dhus/odata/v1/Products('7047c0fc-5e9a-42a6-b30d-292cd448ad42')
S2B_MSIL1C_20171008T105009_N0205_R051_T31UGR_20171008T105012,https://scihub.copernicus.eu/dhus/odata/v1/Products('a0a0ec94-9d04-4608-9dc7-55c7111e6730')
